代码,名称,市盈率,市净率,股息率,历史ROE,近三年ROE,近五年ROE,市值
sh601166,兴业银行,6.15,0.8,3.5,22.24,17.4,15.63,3853.61
sh601088,中国神华,8.33,1.1,4.85,19.16,10.93,12.04,3733.28
sh600900,长江电力,16.1,2.52,4.09,14.22,16.39,16.7,3654.2
sh601319,中国人保,25.87,2.17,0,13.28,13.28,10.76,3644.06
sz000651,格力电器,12.86,3.62,0,27.54,32.74,33.75,3380.24
sz000333,美的集团,15.89,3.74,0,26.86,27.39,26.14,3352.47
sh600000,浦发银行,5.71,0.68,0.88,19.13,16.76,14.65,3316.79
sz000002,万科A,9.35,2.02,3.2,17.59,20.81,21.91,3179.29
sh600104,上汽集团,8.8,1.24,7.03,15.73,17.39,16.68,3041.2
sh601601,中国太保,15.28,1.86,2.4,11.41,11.42,10.87,3017.65
sh601998,中信银行,6.34,0.64,4.42,15.25,13.41,11.88,2887.15
sh600276,恒瑞医药,65.98,13.92,0.2,20.37,23.19,23.37,2843.13
sh601138,工业富联,16.03,3.66,0,25.28,25.28,24.49,2744.49
sh600016,民生银行,5.25,0.62,1.47,18.69,15.9,14.03,2688.24
sz002415,海康威视,24.17,6.82,1.75,41.89,35.02,34.51,2676.47
sh603288,海天味业,55.66,16.82,0.89,34.05,32.11,31.81,2582.09
sh600030,中信证券,22.37,1.55,1.98,14.34,10.04,7.13,2451.25
sh601668,中国建筑,6.18,0.95,3.75,22.57,16.27,15.89,2405.53
sh601766,中国中车,19.75,1.79,1.85,13.15,11,9.8,2333.22
sz000001,平安银行,8.6,0.88,1.06,16.1,13.52,12.1,2206.4
sh600585,海螺水泥,6.88,1.8,2.97,15.98,17.97,20.12,2141.45
sh601818,光大银行,5.98,0.62,4.63,27.47,14.19,12.7,2052.33
sz300498,温氏股份,92.85,5.63,1.08,22.6,26.29,25.67,1939.28
sh600887,伊利股份,28.94,7.28,2.23,15.4,24.73,25.38,1914.35
sh600050,中国联通,42.5,1.32,0.33,5.7,2.63,1.18,1871.77
sh601800,中国交建,9.2,0.91,2.11,13.39,12.22,11.95,1855.24
sz002304,洋河股份,21.08,4.83,2.1,42.29,24.79,24.68,1825.87
sh600018,上港集团,16.52,2.19,2.29,12.31,13.61,14.47,1742.66
sz300760,迈瑞医疗,43.97,10.67,0,28.43,28.43,39.05,1722.63
sz001979,招商蛇口,14.11,2.19,2.88,21.82,22.05,20.52,1705.71
sh601066,中信建投,47.28,3.44,0.81,19.54,19.54,11.6,1695.2
sz300750,宁德时代,40.58,4.77,0,50.88,50.88,33.43,1631.56
sh601336,新华保险,18.66,2.21,1,23.57,12.06,9.82,1619.67
sh600048,保利地产,7.99,1.24,3.08,23.31,17.75,16.16,1543.97
sh601888,中国国旅,36.37,8.34,0.66,22.79,16.89,18.31,1542.46
sh601390,中国中铁,8.59,0.78,1.68,12.46,10.77,10.54,1532.85
sh601688,华泰证券,25.92,1.44,1.62,17.93,10.49,7.87,1531.48
sh600019,宝钢股份,7.91,0.85,6.58,11.47,6.29,10.4,1523.69
sh601211,国泰君安,20.2,1.18,2.37,11.75,13.36,8.37,1505.44
sh600837,海通证券,19.94,1.18,1.83,15.94,9.76,6.46,1445.76
sh601360,三六零,38.71,5.64,0.01,20.68,16.81,17.55,1433.98
sh600009,上海机场,30.77,4.78,0.79,18.98,13.88,14.85,1416.7
sz002594,比亚迪,40.97,2.48,0.27,8.95,7.54,8.54,1404.18
sh601186,中国铁建,7.45,0.79,1.78,23.53,12.3,11.9,1370.18
sz002352,顺丰控股,28.37,3.65,0.71,21.62,13.06,18.03,1368.8
sh601111,中国国航,17.42,1.44,1.29,11.87,9.32,9.25,1294.16
sh600309,万华化学,13.06,3.14,3.66,30.03,30.89,38.53,1287.3
sz002714,牧原股份,-819.51,10.94,1.12,31.01,22.5,27.23,1284.71
sh601229,上海银行,6.78,0.76,4.32,16.48,14.75,13.22,1265.47
sh601169,北京银行,6.12,0.64,4.49,20.86,14.92,13.45,1258.01
sh601238,广汽集团,12.68,1.56,4.37,13.78,14.51,17.28,1242.37
sz000063,中兴通讯,-173.97,5.24,0,10.35,0.92,-6.25,1241.87
sh601006,大秦铁路,8.51,1.11,5.68,16.07,13.36,11.75,1229.48
sz000166,申万宏源,23.95,1.69,1.04,12.54,13.74,8.46,1204.42
sh601989,中国重工,129,1.41,0.21,10.46,0.56,1.16,1196.61
sz000725,京东方A,48.22,1.37,1.46,-1.82,4.41,5.22,1190.11
sz000568,泸州老窖,30.1,6.39,1.54,21.13,16.71,20.08,1186.45
sz002142,宁波银行,10.06,1.37,1.76,38.07,18.52,18.49,1181.83
sh600989,宝丰能源,0,0,0,30.31,30.31,30.31,1174.07
sh600015,华夏银行,5.59,0.55,1.99,15.82,15.69,13.99,1167.89
sz000617,中油资本,14.95,1.38,1.86,10.41,10.51,10.14,1107.08
sh600999,招商证券,19.77,1.3,2.15,21.98,11.87,8.18,1079.27
sz002024,苏宁易购,8.03,1.32,0.87,23.39,5.98,8,1071.59
sz000776,广发证券,18.73,1.2,2.86,7.91,12.12,8.64,1066.19
sh601881,中国银河,31.29,1.57,1.14,10.43,10.99,6.57,1065.43
sh600690,青岛海尔,14.15,2.54,2.09,17.4,22.11,21.66,1043.15
sh600031,三一重工,12.98,2.63,1.32,24.85,6.8,10.34,1017.63
sh600011,华能国际,35.21,1.17,1.55,10.97,10.61,5.45,1012.53
